2010-09-21 10:18:50 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:18:50 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:19:28 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:19:28 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:20:13 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 10:20:28 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 10:28:41 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:28:41 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:35:24 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 287]
2010-09-21 10:35:24 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 287]
2010-09-21 10:35:24 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 10:36:18 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
